ProductPK,Series,CardName,CardNumber,Rarity,SpotlightPrice,InsertedDTM,LastModifiedDTM
42409,Base Set,Starmie,064/102,Common,$0.47,2025-05-31 01:22:10,2025-05-31 15:03:08
42410,Base Set,Staryu,065/102,Common,$0.30,2025-05-31 01:22:10,2025-05-31 15:03:08
42411,Base Set,Tangela,066/102,Common,$0.30,2025-05-31 01:22:10,2025-05-31 15:03:08
42412,Base Set,Voltorb,067/102,Common,$0.99,2025-05-31 01:22:10,2025-05-31 15:03:08
42413,Base Set,Vulpix,068/102,Common,$0.28,2025-05-31 01:22:10,2025-05-31 15:03:08
42414,Base Set,Weedle,069/102,Common,$0.26,2025-05-31 01:22:10,2025-05-31 15:03:08
42415,Base Set,Hitmonchan,007/102,Holo Rare,$3.21,2025-05-31 01:22:10,2025-05-31 15:03:08
42416,Base Set,Clefairy Doll,070/102,Rare,$3.49,2025-05-31 01:22:10,2025-05-31 15:03:08
42417,Base Set,Computer Search,071/102,Rare,$2.29,2025-05-31 01:22:10,2025-05-31 15:03:08
42418,Base Set,Devolution Spray,072/102,Rare,$9,999.00,2025-05-31 01:22:10,2025-05-31 15:03:08
42420,Base Set,Item Finder,074/102,Rare,$8.76,2025-05-31 01:22:10,2025-05-31 15:03:08
42421,Base Set,Lass,075/102,Rare,$5.00,2025-05-31 01:22:10,2025-05-31 15:03:08
42422,Base Set,Pokemon Breeder,076/102,Rare,$5.00,2025-05-31 01:22:10,2025-05-31 15:03:08
42423,Base Set,Scoop Up,078/102,Rare,$6.13,2025-05-31 01:22:10,2025-05-31 15:03:08
42424,Base Set,Super Energy Removal,079/102,Rare,$2.92,2025-05-31 01:22:10,2025-05-31 15:03:08
42425,Deck Exclusives,Machamp - 8/102,008/102,Holo Rare,$9.28,2025-05-31 01:22:10,2025-05-31 15:03:08
42426,Base Set,Defender,080/102,Uncommon,$0.20,2025-05-31 01:22:10,2025-05-31 15:03:08
42427,Base Set,Energy Retrieval,081/102,Uncommon,$0.35,2025-05-31 01:22:10,2025-05-31 15:03:08
42428,Base Set,Full Heal,082/102,Uncommon,$0.99,2025-05-31 01:22:10,2025-05-31 15:03:08
42429,Base Set,Maintenance,083/102,Uncommon,$1.20,2025-05-31 01:22:10,2025-05-31 15:03:08
42430,Base Set,PlusPower,084/102,Uncommon,$0.27,2025-05-31 01:22:10,2025-05-31 15:03:08
42431,Base Set,Professor Oak,088/102,Uncommon,$3.97,2025-05-31 01:22:10,2025-05-31 15:03:08
42432,Base Set,Revive,089/102,Uncommon,$1.79,2025-05-31 01:22:10,2025-05-31 15:03:08
42433,Base Set,Magneton,009/102,Holo Rare,$15.74,2025-05-31 01:22:10,2025-05-31 15:03:08
42434,Base Set,Super Potion,090/102,Uncommon,$0.05,2025-05-31 01:22:10,2025-05-31 15:03:08
42435,Base Set,Bill,091/102,Common,$0.07,2025-05-31 01:22:10,2025-05-31 15:03:08
42436,Base Set,Energy Removal,092/102,Common,$0.20,2025-05-31 01:22:10,2025-05-31 15:03:08
42437,Base Set,Gust of Wind,093/102,Common,$0.09,2025-05-31 01:22:10,2025-05-31 15:03:08
42438,Base Set,Potion,094/102,Common,$0.15,2025-05-31 01:22:10,2025-05-31 15:03:08
42439,Base Set,Switch,095/102,Common,$0.01,2025-05-31 01:22:10,2025-05-31 15:03:08
42440,Base Set,Double Colorless Energy,096/102,Uncommon,$1.15,2025-05-31 01:22:10,2025-05-31 15:03:08
42441,Base Set,Fighting Energy,097/102,Common,$0.22,2025-05-31 01:22:10,2025-05-31 15:03:08
42442,Base Set,Fire Energy,098/102,Common,$0.25,2025-05-31 01:22:10,2025-05-31 15:03:08
42443,Base Set,Grass Energy,099/102,Common,$0.23,2025-05-31 01:22:10,2025-05-31 15:03:08
42444,Base Set 2,Alakazam,001/130,Holo Rare,$17.99,2025-05-31 01:22:10,2025-05-31 15:03:08
42445,Base Set 2,Mewtwo,010/130,Holo Rare,$10.98,2025-05-31 01:22:10,2025-05-31 15:03:08
42446,Base Set 2,Computer Search,101/130,Rare,$0.87,2025-05-31 01:22:10,2025-05-31 15:03:08
42447,Base Set 2,Defender,109/130,Uncommon,$0.23,2025-05-31 01:22:10,2025-05-31 15:03:08
42448,Base Set 2,Nidoking,011/130,Holo Rare,$5.30,2025-05-31 01:22:10,2025-05-31 15:03:08
42449,Base Set 2,Energy Retrieval,110/130,Uncommon,$0.19,2025-05-31 01:22:10,2025-05-31 15:03:08
42450,Base Set 2,Full Heal,111/130,Uncommon,$0.21,2025-05-31 01:22:10,2025-05-31 15:03:08
42451,Base Set 2,Bill,118/130,Common,$0.10,2025-05-31 01:22:10,2025-05-31 15:03:08
42452,Base Set 2,Energy Removal,119/130,Common,$0.10,2025-05-31 01:22:10,2025-05-31 15:03:08
42453,Base Set 2,Nidoqueen,012/130,Holo Rare,$11.00,2025-05-31 01:22:10,2025-05-31 15:03:08
42454,Base Set 2,Double Colorless Energy,124/130,Uncommon,$0.82,2025-05-31 01:22:10,2025-05-31 15:03:08
42455,Base Set 2,Fighting Energy,125/130,Common,$0.08,2025-05-31 01:22:10,2025-05-31 15:03:08
42456,Base Set 2,Fire Energy,126/130,Common,$0.49,2025-05-31 01:22:10,2025-05-31 15:03:08
42457,Base Set 2,Ninetales,013/130,Holo Rare,$4.71,2025-05-31 01:22:10,2025-05-31 15:03:08
42458,Base Set 2,Pidgeot,014/130,Holo Rare,$4.12,2025-05-31 01:22:10,2025-05-31 15:03:08
42459,Base Set 2,Poliwrath,015/130,Holo Rare,$4.10,2025-05-31 01:22:10,2025-05-31 15:03:08
42460,Base Set 2,Raichu,016/130,Holo Rare,$24.99,2025-05-31 01:22:10,2025-05-31 15:03:08
42461,Base Set 2,Scyther,017/130,Holo Rare,$5.76,2025-05-31 01:22:10,2025-05-31 15:03:08
42462,Base Set 2,Venusaur,018/130,Holo Rare,$30.00,2025-05-31 01:22:10,2025-05-31 15:03:08
42463,Base Set 2,Wigglytuff,019/130,Holo Rare,$2.00,2025-05-31 01:22:10,2025-05-31 15:03:08
42464,Base Set 2,Blastoise,002/130,Holo Rare,$31.68,2025-05-31 01:22:10,2025-05-31 15:03:08
42465,Base Set 2,Zapdos,020/130,Holo Rare,$26.99,2025-05-31 01:22:10,2025-05-31 15:03:08
42466,Base Set 2,Beedrill,021/130,Rare,$0.28,2025-05-31 01:22:10,2025-05-31 15:03:08
42467,Base Set 2,Dragonair,022/130,Rare,$10.00,2025-05-31 01:22:10,2025-05-31 15:03:08
42468,Base Set 2,Dugtrio,023/130,Rare,$0.75,2025-05-31 01:22:10,2025-05-31 15:03:08
42469,Base Set 2,Electabuzz,024/130,Rare,$0.50,2025-05-31 01:22:10,2025-05-31 15:03:08
42470,Base Set 2,Electrode,025/130,Rare,$0.99,2025-05-31 01:22:10,2025-05-31 15:03:08
42471,Base Set 2,Chansey,003/130,Holo Rare,$4.99,2025-05-31 01:22:10,2025-05-31 15:03:08
42472,Base Set 2,Arcanine,033/130,Uncommon,$0.43,2025-05-31 01:22:10,2025-05-31 15:03:08
42473,Base Set 2,Butterfree,034/130,Uncommon,$0.56,2025-05-31 01:22:10,2025-05-31 15:03:08
42474,Base Set 2,Charmeleon,035/130,Uncommon,$0.23,2025-05-31 01:22:10,2025-05-31 15:03:08
42475,Base Set 2,Dewgong,036/130,Uncommon,$0.43,2025-05-31 01:22:10,2025-05-31 15:03:08
42476,Base Set 2,Dodrio,037/130,Uncommon,$0.31,2025-05-31 01:22:10,2025-05-31 15:03:08
42477,Base Set 2,Dratini,038/130,Uncommon,$0.25,2025-05-31 01:22:10,2025-05-31 15:03:08
42478,Base Set 2,Exeggutor,039/130,Uncommon,$0.96,2025-05-31 01:22:10,2025-05-31 15:03:08
42479,Base Set 2,Charizard,004/130,Holo Rare,$264.75,2025-05-31 01:22:10,2025-05-31 15:03:08
42480,Base Set 2,Farfetch'd,040/130,Uncommon,$0.25,2025-05-31 01:22:10,2025-05-31 15:03:08
42481,Base Set 2,Fearow,041/130,Uncommon,$1.15,2025-05-31 01:22:10,2025-05-31 15:03:08
42482,Base Set 2,Clefable,005/130,Holo Rare,$9.68,2025-05-31 01:22:10,2025-05-31 15:03:08
42483,Base Set 2,Clefairy,006/130,Holo Rare,$4.09,2025-05-31 01:22:10,2025-05-31 15:03:08
42484,Base Set 2,Abra,065/130,Common,$0.20,2025-05-31 01:22:10,2025-05-31 15:03:08
42485,Base Set 2,Bellsprout,066/130,Common,$0.11,2025-05-31 01:22:10,2025-05-31 15:03:08
42486,Base Set 2,Bulbasaur,067/130,Common,$0.46,2025-05-31 01:22:10,2025-05-31 15:03:08
42487,Base Set 2,Caterpie,068/130,Common,$0.18,2025-05-31 01:22:10,2025-05-31 15:03:08
42488,Base Set 2,Charmander,069/130,Common,$0.39,2025-05-31 01:22:10,2025-05-31 15:03:08
42489,Base Set 2,Gyarados,007/130,Holo Rare,$13.79,2025-05-31 01:22:10,2025-05-31 15:03:08
42490,Base Set 2,Cubone,070/130,Common,$0.25,2025-05-31 01:22:10,2025-05-31 15:03:08
42491,Base Set 2,Diglett,071/130,Common,$0.23,2025-05-31 01:22:10,2025-05-31 15:03:08
42492,Base Set 2,Doduo,072/130,Common,$0.24,2025-05-31 01:22:10,2025-05-31 15:03:08
42493,Base Set 2,Drowzee,073/130,Common,$0.17,2025-05-31 01:22:10,2025-05-31 15:03:08
42494,Base Set 2,Exeggcute,074/130,Common,$0.30,2025-05-31 01:22:10,2025-05-31 15:03:08
42495,Base Set 2,Gastly,075/130,Common,$0.12,2025-05-31 01:22:10,2025-05-31 15:03:08
42496,Base Set 2,Hitmonchan,008/130,Holo Rare,$9.00,2025-05-31 01:22:10,2025-05-31 15:03:08
42497,Base Set 2,Magneton,009/130,Holo Rare,$8.34,2025-05-31 01:22:10,2025-05-31 15:03:08
42498,Base Set 2,Kangaskhan,026/130,Rare,$1.00,2025-05-31 01:22:10,2025-05-31 15:03:08
42499,Base Set 2,Mr. Mime,027/130,Rare,$2.44,2025-05-31 01:22:10,2025-05-31 15:03:08
42500,Base Set 2,Pidgeotto,028/130,Rare,$2.02,2025-05-31 01:22:10,2025-05-31 15:03:08
42501,Base Set 2,Pinsir,029/130,Rare,$1.09,2025-05-31 01:22:10,2025-05-31 15:03:08
42502,Base Set 2,Snorlax,030/130,Rare,$6.98,2025-05-31 01:22:10,2025-05-31 15:03:08
42503,Base Set 2,Venomoth,031/130,Rare,$1.09,2025-05-31 01:22:10,2025-05-31 15:03:08
42504,Base Set 2,Victreebel,032/130,Rare,$0.99,2025-05-31 01:22:10,2025-05-31 15:03:08
42505,Base Set 2,Growlithe,042/130,Uncommon,$1.02,2025-05-31 01:22:10,2025-05-31 15:03:08
42506,Base Set 2,Haunter,043/130,Uncommon,$0.80,2025-05-31 01:22:10,2025-05-31 15:03:08
42507,Base Set 2,Ivysaur,044/130,Uncommon,$2.99,2025-05-31 01:22:10,2025-05-31 15:03:08
42508,Base Set 2,Jynx,045/130,Uncommon,$0.22,2025-05-31 01:22:10,2025-05-31 15:03:08
42509,Base Set 2,Kadabra,046/130,Uncommon,$0.75,2025-05-31 01:22:10,2025-05-31 15:03:08
42510,Base Set 2,Kakuna,047/130,Uncommon,$0.50,2025-05-31 01:22:10,2025-05-31 15:03:08
42511,Base Set 2,Lickitung,048/130,Uncommon,$0.59,2025-05-31 01:22:10,2025-05-31 15:03:08
42512,Base Set 2,Machoke,049/130,Uncommon,$0.40,2025-05-31 01:22:10,2025-05-31 15:03:08
42513,Base Set 2,Magikarp,050/130,Uncommon,$0.25,2025-05-31 01:22:10,2025-05-31 15:03:08
42514,Base Set 2,Magmar,051/130,Uncommon,$0.29,2025-05-31 01:22:10,2025-05-31 15:03:08
42515,Base Set 2,Marowak,052/130,Uncommon,$0.85,2025-05-31 01:22:10,2025-05-31 15:03:08
42516,Base Set 2,Nidorina,053/130,Uncommon,$0.12,2025-05-31 01:22:10,2025-05-31 15:03:08
42517,Base Set 2,Nidorino,054/130,Uncommon,$0.44,2025-05-31 01:22:10,2025-05-31 15:03:08
42518,Base Set 2,Parasect,055/130,Uncommon,$0.49,2025-05-31 01:22:10,2025-05-31 15:03:08
42519,Base Set 2,Persian,056/130,Uncommon,$0.45,2025-05-31 01:22:10,2025-05-31 15:03:08
42520,Base Set 2,Poliwhirl,057/130,Uncommon,$0.56,2025-05-31 01:22:10,2025-05-31 15:03:08
42521,Base Set 2,Raticate,058/130,Uncommon,$0.70,2025-05-31 01:22:10,2025-05-31 15:03:08
42522,Base Set 2,Rhydon,059/130,Uncommon,$1.87,2025-05-31 01:22:10,2025-05-31 15:03:08
42523,Base Set 2,Seaking,060/130,Uncommon,$0.34,2025-05-31 01:22:10,2025-05-31 15:03:08
42524,Base Set 2,Seel,061/130,Uncommon,$0.33,2025-05-31 01:22:10,2025-05-31 15:03:08
42525,Base Set 2,Tauros,062/130,Uncommon,$1.09,2025-05-31 01:22:10,2025-05-31 15:03:08
42526,Base Set 2,Wartortle,063/130,Uncommon,$0.75,2025-05-31 01:22:10,2025-05-31 15:03:08
42527,Base Set 2,Weepinbell,064/130,Uncommon,$0.50,2025-05-31 01:22:10,2025-05-31 15:03:08
42528,Base Set 2,Goldeen,076/130,Common,$0.25,2025-05-31 01:22:10,2025-05-31 15:03:08
42529,Base Set 2,Jigglypuff,077/130,Common,$0.18,2025-05-31 01:22:10,2025-05-31 15:03:08
42530,Base Set 2,Machop,078/130,Common,$0.32,2025-05-31 01:22:10,2025-05-31 15:03:08
42531,Base Set 2,Magnemite,079/130,Common,$0.24,2025-05-31 01:22:10,2025-05-31 15:03:08
42532,Base Set 2,Meowth,080/130,Common,$0.42,2025-05-31 01:22:10,2025-05-31 15:03:08
42533,Base Set 2,Metapod,081/130,Common,$0.25,2025-05-31 01:22:10,2025-05-31 15:03:08
42534,Base Set 2,Nidoran M,083/130,Common,$0.14,2025-05-31 01:22:10,2025-05-31 15:03:08
42535,Base Set 2,Onix,084/130,Common,$0.32,2025-05-31 01:22:10,2025-05-31 15:03:08
42536,Base Set 2,Paras,085/130,Common,$0.36,2025-05-31 01:22:10,2025-05-31 15:03:08
42537,Base Set 2,Pidgey,086/130,Common,$0.25,2025-05-31 01:22:10,2025-05-31 15:03:08
42538,Base Set 2,Pikachu,087/130,Common,$1.98,2025-05-31 01:22:10,2025-05-31 15:03:08
42539,Base Set 2,Poliwag,088/130,Common,$0.10,2025-05-31 01:22:10,2025-05-31 15:03:08
42540,Base Set 2,Rattata,089/130,Common,$0.32,2025-05-31 01:22:10,2025-05-31 15:03:08
42541,Base Set 2,Rhyhorn,090/130,Common,$0.17,2025-05-31 01:22:10,2025-05-31 15:03:08
42542,Base Set 2,Sandshrew,091/130,Common,$0.12,2025-05-31 01:22:10,2025-05-31 15:03:08
42543,Base Set 2,Spearow,092/130,Common,$0.75,2025-05-31 01:22:10,2025-05-31 15:03:08
42544,Base Set 2,Squirtle,093/130,Common,$0.20,2025-05-31 01:22:10,2025-05-31 15:03:08
42545,Base Set 2,Starmie,094/130,Common,$0.25,2025-05-31 01:22:10,2025-05-31 15:03:08
42546,Base Set 2,Staryu,095/130,Common,$0.25,2025-05-31 01:22:10,2025-05-31 15:03:08
42547,Base Set 2,Tangela,096/130,Common,$0.33,2025-05-31 01:22:10,2025-05-31 15:03:08
42548,Base Set 2,Venonat,097/130,Common,$0.46,2025-05-31 01:22:10,2025-05-31 15:03:08
42549,Base Set 2,Voltorb,098/130,Common,$0.10,2025-05-31 01:22:10,2025-05-31 15:03:08
42550,Base Set 2,Vulpix,099/130,Common,$0.20,2025-05-31 01:22:10,2025-05-31 15:03:08
42551,Base Set 2,Weedle,100/130,Common,$0.20,2025-05-31 01:22:10,2025-05-31 15:03:08
42552,Base Set 2,Imposter Professor Oak,102/130,Rare,$0.43,2025-05-31 01:22:10,2025-05-31 15:03:08
42553,Base Set 2,Item Finder,103/130,Rare,$6.21,2025-05-31 01:22:10,2025-05-31 15:03:08
42554,Base Set 2,Lass,104/130,Rare,$0.70,2025-05-31 01:22:10,2025-05-31 15:03:08
42555,Base Set 2,Pokemon Breeder,105/130,Rare,$1.68,2025-05-31 01:22:10,2025-05-31 15:03:08
42556,Base Set 2,Scoop Up,107/130,Rare,$4.79,2025-05-31 01:22:10,2025-05-31 15:03:08
42557,Base Set 2,Super Energy Removal,108/130,Rare,$0.70,2025-05-31 01:22:10,2025-05-31 15:03:08
42558,Base Set 2,Maintenance,112/130,Uncommon,$0.57,2025-05-31 01:22:10,2025-05-31 15:03:08
42559,Base Set 2,PlusPower,113/130,Uncommon,$0.25,2025-05-31 01:22:10,2025-05-31 15:03:08
42560,Base Set 2,Professor Oak,116/130,Uncommon,$0.85,2025-05-31 01:22:10,2025-05-31 15:03:08
42561,Base Set 2,Super Potion,117/130,Uncommon,$0.10,2025-05-31 01:22:10,2025-05-31 15:03:08
42562,Base Set 2,Gust of Wind,120/130,Common,$0.25,2025-05-31 01:22:10,2025-05-31 15:03:08
42563,Base Set 2,Potion,122/130,Common,$0.12,2025-05-31 01:22:10,2025-05-31 15:03:08
42564,Base Set 2,Switch,123/130,Common,$0.14,2025-05-31 01:22:10,2025-05-31 15:03:08
42565,Base Set 2,Grass Energy,127/130,Common,$0.19,2025-05-31 01:22:10,2025-05-31 15:03:08
42566,Base Set 2,Lightning Energy,128/130,Common,$0.38,2025-05-31 01:22:10,2025-05-31 15:03:08
42567,Base Set 2,Psychic Energy,129/130,Common,$0.20,2025-05-31 01:22:10,2025-05-31 15:03:08
42568,Base Set 2,Water Energy,130/130,Common,$0.01,2025-05-31 01:22:10,2025-05-31 15:03:08
43053,Deck Exclusives,Rayquaza - 22/107,022/107,Holo Rare,1.74,2025-05-31 15:55:47,2025-05-31 15:55:47
44418,Fossil,Aerodactyl (1),01/62,Holo Rare,6.00,2025-05-31 19:11:38,2025-05-31 19:11:38
44419,Fossil,Lapras (10),10/62,Holo Rare,10.24,2025-05-31 19:11:38,2025-05-31 19:11:38
44420,Fossil,Magneton (11),11/62,Holo Rare,3.64,2025-05-31 19:11:38,2025-05-31 19:11:38
44421,Fossil,Moltres (12),12/62,Holo Rare,149.99,2025-05-31 19:11:38,2025-05-31 19:11:38
44422,Fossil,Muk (13),13/62,Holo Rare,4.64,2025-05-31 19:11:38,2025-05-31 19:11:38
44423,Fossil,Raichu (14),14/62,Holo Rare,169.99,2025-05-31 19:11:38,2025-05-31 19:11:38
44424,Fossil,Zapdos (15),15/62,Holo Rare,299.99,2025-05-31 19:11:38,2025-05-31 19:11:38
44425,Fossil,Articuno (17),17/62,Rare,2.00,2025-05-31 19:11:38,2025-05-31 19:11:38
44426,Fossil,Ditto (18),18/62,Rare,11.59,2025-05-31 19:11:38,2025-05-31 19:11:38
44427,Fossil,Dragonite (19),19/62,Rare,4.25,2025-05-31 19:11:38,2025-05-31 19:11:38
44428,Fossil,Gengar (20),20/62,Rare,9.97,2025-05-31 19:11:38,2025-05-31 19:11:38
44429,Fossil,Haunter (21),21/62,Rare,1.89,2025-05-31 19:11:38,2025-05-31 19:11:38
44430,Fossil,Hitmonlee (22),22/62,Rare,1.41,2025-05-31 19:11:38,2025-05-31 19:11:38
44431,Fossil,Hypno (23),23/62,Rare,6.96,2025-05-31 19:11:38,2025-05-31 19:11:38
44432,Fossil,Kabutops (24),24/62,Rare,1.14,2025-05-31 19:11:38,2025-05-31 19:11:38
44433,Fossil,Arbok,31/62,Uncommon,0.44,2025-05-31 19:11:38,2025-05-31 19:11:38
44434,Fossil,Cloyster,32/62,Uncommon,0.96,2025-05-31 19:11:38,2025-05-31 19:11:38
44435,Fossil,Gastly,33/62,Uncommon,1.09,2025-05-31 19:11:38,2025-05-31 19:11:38
44436,Fossil,Golbat,34/62,Uncommon,0.30,2025-05-31 19:11:38,2025-05-31 19:11:38
44437,Fossil,Golduck,35/62,Uncommon,0.42,2025-05-31 19:11:38,2025-05-31 19:11:38
44438,Fossil,Golem,36/62,Uncommon,0.10,2025-05-31 19:11:38,2025-05-31 19:11:38
44439,Fossil,Graveler,37/62,Uncommon,0.27,2025-05-31 19:11:38,2025-05-31 19:11:38
44440,Fossil,Kingler,38/62,Uncommon,0.30,2025-05-31 19:11:38,2025-05-31 19:11:38
44441,Fossil,Magmar,39/62,Uncommon,0.34,2025-05-31 19:11:38,2025-05-31 19:11:38
44442,Fossil,Omastar,40/62,Uncommon,1.43,2025-05-31 19:11:38,2025-05-31 19:11:38
44443,Fossil,Sandslash,41/62,Uncommon,0.61,2025-05-31 19:11:38,2025-05-31 19:11:38
44444,Fossil,Seadra,42/62,Uncommon,0.39,2025-05-31 19:11:38,2025-05-31 19:11:38
44445,Fossil,Slowbro,43/62,Uncommon,1.60,2025-05-31 19:11:38,2025-05-31 19:11:38
44446,Fossil,Tentacruel,44/62,Uncommon,0.54,2025-05-31 19:11:38,2025-05-31 19:11:38
44447,Fossil,Weezing,45/62,Uncommon,0.25,2025-05-31 19:11:38,2025-05-31 19:11:38
